VALUE,COUNT,FSTTYP_W,LC16_EVT_2,FORTYPCD,FORTYPNAME,FILTER,KB COMMENT,FLDTYPCD,FLDTYPNAME,EVT_NAME,EVT_LF,SAF_SRM
1004,15622,520,7166,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Tree,SAF 210: Interior Douglas-Fir
1034,4523,520,7049,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Rocky Mountain Foothill Limber Pine-Juniper Woodland,Tree,SAF 219: Limber Pine
1094,2013,520,9015,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Northwestern Great Plains Riparian Forest,Tree,LF 42: Great Plains Riparian
1117,92,520,7179,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna,Tree,SAF 237: Interior Ponderosa Pine
1209,1537,520,7385,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Great Plains Wooded Draw and Ravine Woodland,Tree,LF 41: Deciduous Shrubland
1225,475,520,7060,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,East Cascades Ponderosa Pine Forest and Woodland,Tree,SAF 237: Interior Ponderosa Pine
1235,17,520,7262,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,East Cascades Oak Forest and Woodland,Tree,SAF 237: Interior Ponderosa Pine
1268,52491,520,7013,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Western Great Plains Dry Bur Oak Forest and Woodland,Tree,SAF 236: Bur Oak
1314,11339,520,9179,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,North-Central Interior Floodplain Forest,Tree,SAF 61: River Birch-Sycamore
1334,62307,520,7310,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,North-Central Interior Dry-Mesic Oak Forest and Woodland,Tree,SAF 52: White Oak-Black Oak-Northern Red Oak
1338,3269,520,9315,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Northern & Central Native Ruderal Forest,Tree,LF 53: Ruderal Forest
1347,263,520,9314,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Northern & Central Native Ruderal Flooded & Swamp Forest,Tree,LF 53: Ruderal Forest
1362,3,520,7035,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,North Pacific Dry Douglas-fir-(Madrone) Forest and Woodland,Tree,SAF 229: Pacific Douglas-Fir
1387,71,520,9327,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Interior West Ruderal Riparian Forest,Tree,LF 58: Introduced Woody Wetlands and Riparian Vegetation
1480,2076,520,7395,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,North-Central Oak Barrens Woodland,Tree,SAF 14: Northern Pin Oak
1483,3,520,7263,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,East Cascades Oak-Ponderosa Pine Forest and Woodland,Tree,SAF 237: Interior Ponderosa Pine
1491,82,520,7311,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,North-Central Interior Dry Oak Forest and Woodland,Tree,SAF 110: Black Oak
1538,1049,520,7009,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Northwestern Great Plains Aspen Forest and Parkland,Tree,SAF 217: Aspen
1562,1412,520,7061,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Tree,SAF 217: Aspen
1820,1742,520,7062,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland,Tree,SRM 415: Curlleaf Mountain-Mahogany
1916,109,520,7057,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,Tree,SAF 209: Bristlecone Pine
1967,1,520,7173,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,North Pacific Wooded Volcanic Flowage,Tree,SAF 218: Lodgepole Pine
2005,69,520,7017,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Columbia Plateau Western Juniper Woodland and Savanna,Tree,SRM 107: Western Juniper-Big Sagebrush-Bluebunch Wheatgrass
2134,491,520,9019,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Rocky Mountain Lower Montane-Foothill Riparian Woodland,Tree,SAF 235: Cottonwood-Willow
2137,1359,520,7033,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Mediterranean California Subalpine Woodland,Tree,SAF 256: California Mixed Subalpine
