VALUE,COUNT,FSTTYP_W,LC16_EVT_2,FORTYPCD,FORTYPNAME,FILTER,KB COMMENT,FLDTYPCD,FLDTYPNAME,EVT_NAME,EVT_LF,SAF_SRM
3628,159,975,7016,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,Colorado Plateau Pinyon-Juniper Woodland,Tree,SRM 504: Juniper-Pinyon Pine Woodland
3689,26,975,7032,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,Mediterranean California Red Fir Forest,Tree,SAF 207: Red Fir
3739,15,975,7049,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,Rocky Mountain Foothill Limber Pine-Juniper Woodland,Tree,SAF 219: Limber Pine
3757,224,975,9129,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,Mediterranean California Foothill and Lower Montane Riparian Woodland,Tree,SRM 203: Riparian Woodland
3801,3,975,7020,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,Tree,SAF 209: Bristlecone Pine
3866,2091,975,9019,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,Rocky Mountain Lower Montane-Foothill Riparian Woodland,Tree,SAF 235: Cottonwood-Willow
3870,141,975,7055,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Tree,SAF 206: Engelmann Spruce-Subalpine Fir
3879,11,975,7151,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,California Central Valley Riparian Woodland,Tree,SRM 203: Riparian Woodland
3889,4,975,7043,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,Mediterranean California Mixed Evergreen Forest,Tree,SAF 234: Douglas-Fir-Tanoak-Pacific Madrone
3892,63,975,7112,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,California Central Valley Mixed Oak Savanna,Tree,SRM 201: Blue Oak Woodland
3895,68,975,9302,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,Californian Ruderal Forest,Tree,LF 53: Ruderal Forest
3989,23,975,9003,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,Great Basin Foothill and Lower Montane Riparian Woodland,Tree,SAF 235: Cottonwood-Willow
3994,14,975,7044,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,Northern California Mesic Subalpine Woodland,Tree,SAF 205: Mountain Hemlock
4046,27,975,7056,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Tree,SAF 206: Engelmann Spruce-Subalpine Fir
4061,985,975,7052,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Tree,SAF 211: White Fir
4198,589,975,7054,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,Southern Rocky Mountain Ponderosa Pine Woodland,Tree,SAF 237: Interior Ponderosa Pine
4228,524,975,7113,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,California Coastal Live Oak Woodland and Savanna,Tree,SAF 255: California Coast Live Oak
4230,454,975,7029,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,Mediterranean California Mixed Oak Woodland,Tree,SAF 246: California Black Oak
4237,158,975,9028,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,Western Great Plains Riparian Woodland,Tree,LF 42: Great Plains Riparian
4339,389,975,7014,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,Central and Southern California Mixed Evergreen Woodland,Tree,SAF 249: Canyon Live Oak
4341,1,975,7031,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,California Montane Jeffrey Pine-(Ponderosa Pine) Woodland,Tree,SAF 247: Jeffrey Pine
4356,7,975,7015,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,California Coastal Redwood Forest,Tree,SAF 232: Redwood
4378,3006,975,9035,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,North American Warm Desert Lower Montane Riparian Woodland,Tree,SRM 203: Riparian Woodland
4391,1,975,9022,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,Rocky Mountain Subalpine-Montane Riparian Woodland,Tree,SRM 422: Riparian
4410,49,975,9034,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,North American Warm Desert Riparian Woodland,Tree,SRM 203: Riparian Woodland
4453,2,975,9133,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,Mediterranean California Serpentine Foothill and Lower Montane Riparian Woodland and Seep,Tree,SRM 203: Riparian Woodland
4458,806,975,9026,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,Western Great Plains Floodplain Forest and Woodland,Tree,LF 42: Great Plains Riparian
4480,4,975,7117,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,Southern Rocky Mountain Ponderosa Pine Savanna,Tree,SAF 237: Interior Ponderosa Pine
4537,951,975,7118,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,Southern California Oak Woodland and Savanna,Tree,SAF 255: California Coast Live Oak
4644,595,975,7026,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,Madrean Upper Montane Conifer-Oak Forest and Woodland,Tree,SAF 241: Western Live Oak
4668,47,975,7024,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,Madrean Lower Montane Pine-Oak Forest and Woodland,Tree,SAF 241: Western Live Oak
4893,266,975,7057,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,Tree,SAF 209: Bristlecone Pine
4939,1,975,9152,975,Intermountain maple woodland,Dry,tempted to call this dry b/c it overlays w/ DF,201,Douglas-fir,North American Warm Desert Riparian Mesquite Bosque Woodland,Tree,SRM 203: Riparian Woodland
1411,115,976,7166,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Tree,SAF 210: Interior Douglas-Fir
1455,1,976,7045,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Tree,SAF 210: Interior Douglas-Fir
1457,6,976,9012,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Northern Rocky Mountain Lower Montane Riparian Woodland,Tree,SAF 235: Cottonwood-Willow
1459,1,976,7056,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Tree,SAF 206: Engelmann Spruce-Subalpine Fir
1498,15315,976,9014,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Northwestern Great Plains Floodplain Forest and Woodland,Tree,LF 42: Great Plains Riparian
1500,2962,976,9015,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Northwestern Great Plains Riparian Forest,Tree,LF 42: Great Plains Riparian
1505,2,976,7050,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Rocky Mountain Lodgepole Pine Forest,Tree,SAF 218: Lodgepole Pine
1798,211,976,7011,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Rocky Mountain Aspen Forest and Woodland,Tree,SAF 217: Aspen
1799,7,976,7062,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland,Tree,SRM 415: Curlleaf Mountain-Mahogany
1906,10,976,9002,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Columbia Basin Foothill Riparian Woodland,Tree,SAF 235: Cottonwood-Willow
2255,1302,976,7385,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Great Plains Wooded Draw and Ravine Woodland,Tree,LF 41: Deciduous Shrubland
3279,5365,976,9019,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Rocky Mountain Lower Montane-Foothill Riparian Woodland,Tree,SAF 235: Cottonwood-Willow
3711,2339,976,9028,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Western Great Plains Riparian Woodland,Tree,LF 42: Great Plains Riparian
3726,1886,976,9026,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Western Great Plains Floodplain Forest and Woodland,Tree,LF 42: Great Plains Riparian
3860,32253,976,7151,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,California Central Valley Riparian Woodland,Tree,SRM 203: Riparian Woodland
3877,27300,976,9129,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Mediterranean California Foothill and Lower Montane Riparian Woodland,Tree,SRM 203: Riparian Woodland
3887,8019,976,9302,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Californian Ruderal Forest,Tree,LF 53: Ruderal Forest
3941,1774,976,7112,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,California Central Valley Mixed Oak Savanna,Tree,SRM 201: Blue Oak Woodland
3999,287,976,9003,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Great Basin Foothill and Lower Montane Riparian Woodland,Tree,SAF 235: Cottonwood-Willow
4069,1,976,7049,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Rocky Mountain Foothill Limber Pine-Juniper Woodland,Tree,SAF 219: Limber Pine
4365,88865,976,9327,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Interior West Ruderal Riparian Forest,Tree,LF 58: Introduced Woody Wetlands and Riparian Vegetation
4366,109654,976,9034,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,North American Warm Desert Riparian Woodland,Tree,SRM 203: Riparian Woodland
4375,26,976,7051,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Tree,SAF 210: Interior Douglas-Fir
4390,960,976,7113,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,California Coastal Live Oak Woodland and Savanna,Tree,SAF 255: California Coast Live Oak
4399,5055,976,9035,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,North American Warm Desert Lower Montane Riparian Woodland,Tree,SRM 203: Riparian Woodland
4403,1603,976,9154,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,North American Warm Desert Wash Woodland,Tree,SRM 203: Riparian Woodland
4407,17,976,7114,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,California Lower Montane Foothill Pine Woodland and Savanna,Tree,SAF 250: Blue Oak-Digger Pine
4446,21119,976,9152,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,North American Warm Desert Riparian Mesquite Bosque Woodland,Tree,SRM 203: Riparian Woodland
4457,1,976,7012,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Rocky Mountain Bigtooth Maple Ravine Woodland,Tree,SRM 418: Bigtooth Maple
4466,64,976,7029,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Mediterranean California Mixed Oak Woodland,Tree,SAF 246: California Black Oak
4500,1,976,7052,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Tree,SAF 211: White Fir
4538,1570,976,7014,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Central and Southern California Mixed Evergreen Woodland,Tree,SAF 249: Canyon Live Oak
4611,2607,976,7118,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Southern California Oak Woodland and Savanna,Tree,SAF 255: California Coast Live Oak
4616,1,976,7031,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,California Montane Jeffrey Pine-(Ponderosa Pine) Woodland,Tree,SAF 247: Jeffrey Pine
4747,2,976,7117,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Southern Rocky Mountain Ponderosa Pine Savanna,Tree,SAF 237: Interior Ponderosa Pine
4771,1,976,7027,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Tree,SAF 243: Sierra Nevada Mixed Conifer
4782,1,976,7054,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Southern Rocky Mountain Ponderosa Pine Woodland,Tree,SAF 237: Interior Ponderosa Pine
4790,5,976,7019,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Great Basin Pinyon-Juniper Woodland,Tree,SRM 412: Juniper-Pinyon Woodland
4843,123,976,7116,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Madrean Juniper Savanna,Tree,SRM 735: Sideoats Grama-Sumac-Juniper
4848,71,976,7023,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Madrean Encinal,Tree,SAF 241: Western Live Oak
4929,2,976,7024,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Madrean Lower Montane Pine-Oak Forest and Woodland,Tree,SAF 241: Western Live Oak
4935,5,976,9289,976,Miscellaneous woodland hardwoods,???,,962,Other hardwoods,Madrean Mesic Canyon Forest and Woodland,Tree,SAF 241: Western Live Oak
466,14636,520,9002,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Columbia Basin Foothill Riparian Woodland,Tree,SAF 235: Cottonwood-Willow
525,1112,520,9022,520,Mixed upland hardwoods,???,,406,Loblolly pine / hardwood,Rocky Mountain Subalpine-Montane Riparian Woodland,Tree,SRM 422: Riparian
